Date,Product Name,Quantity,Unit Cost
5/20/2024,500ML VANILLA,96,59
5/20/2024,100ML STRAWBERRY,164,13
5/20/2024,250ML STRAWBERRY,106,30
5/20/2024,500ML STRAWBERRY,95,59
5/20/2024,5L STRAWBERRY,15,450
5/21/2024,100ML VANILLA,193,13
5/21/2024,250ML VANILLA,123,30
5/21/2024,500ML VANILLA,100,59
5/21/2024,100ML STRAWBERRY,178,13
5/21/2024,250ML STRAWBERRY,115,30
5/21/2024,500ML STRAWBERRY,82,59
5/21/2024,5L STRAWBERRY,14,450
5/22/2024,100ML VANILLA,133,13
5/22/2024,250ML VANILLA,111,30
5/22/2024,500ML VANILLA,82,59
5/22/2024,100ML STRAWBERRY,130,13
5/22/2024,250ML STRAWBERRY,77,30
5/22/2024,500ML STRAWBERRY,58,59
5/22/2024,5L STRAWBERRY,11,450
5/23/2024,100ML VANILLA,147,13
5/23/2024,150ML VANILLA,97,20.7
5/23/2024,500ML VANILLA,75,59
5/23/2024,100ML STRAWBERRY,126,13
5/23/2024,250ML STRAWBERRY,93,30
5/23/2024,500ML STRAWBERRY,56,59
5/23/2024,5L STRAWBERRY,9,450
5/24/2024,100ML VANILLA,116,13
5/24/2024,250ML VANILLA,77,30
5/24/2024,500ML VANILLA,58,59
5/24/2024,100ML STRAWBERRY,101,13
5/24/2024,250ML STRAWBERRY,69,30
5/24/2024,500ML STRAWBERRY,55,59
5/24/2024,5L STRAWBERRY,8,450
5/25/2024,100ML VANILLA,131,13
5/25/2024,250ML VANILLA,94,30
5/25/2024,500ML VANILLA,59,59
5/25/2024,100ML STRAWBERRY,92,13
5/25/2024,250ML STRAWBERRY,75,30
5/25/2024,500ML STRAWBERRY,51,59
5/25/2024,5L STRAWBERRY,7,450
5/26/2024,100ML VANILLA,111,13
5/26/2024,250ML VANILLA,84,30
5/26/2024,500ML VANILLA,55,59
5/26/2024,100ML STRAWBERRY,102,13
5/26/2024,250ML STRAWBERRY,68,30
5/26/2024,500ML STRAWBERRY,48,59
5/26/2024,5L STRAWBERRY,8,450
5/27/2024,100ML VANILLA,165,13
5/27/2024,150ML VANILLA,125,20.7
5/27/2024,500ML VANILLA,75,59
5/27/2024,100ML STRAWBERRY,127,13
5/27/2024,250ML STRAWBERRY,101,30
5/27/2024,500ML STRAWBERRY,65,59
5/27/2024,5L STRAWBERRY,11,450
5/28/2024,100ML VANILLA,146,13
5/28/2024,250ML VANILLA,108,30
5/28/2024,150ML VANILLA,108,20.7
5/28/2024,500ML VANILLA,77,59
5/28/2024,100ML STRAWBERRY,128,13
5/28/2024,250ML STRAWBERRY,91,30
5/28/2024,500ML STRAWBERRY,67,59
5/28/2024,5L STRAWBERRY,10,450
5/29/2024,100ML VANILLA,103,13
5/29/2024,250ML VANILLA,76,30
5/29/2024,500ML VANILLA,52,59
5/29/2024,100ML STRAWBERRY,91,13
5/29/2024,250ML STRAWBERRY,75,30
5/29/2024,500ML STRAWBERRY,53,59
5/29/2024,5L STRAWBERRY,7,450
5/30/2024,100ML VANILLA,103,13
5/30/2024,250ML VANILLA,97,30
5/30/2024,500ML VANILLA,62,59
5/30/2024,100ML STRAWBERRY,103,13
5/30/2024,250ML STRAWBERRY,78,30
5/30/2024,500ML STRAWBERRY,42,59
5/30/2024,5L STRAWBERRY,7,450
5/31/2024,100ML VANILLA,120,13
5/31/2024,250ML VANILLA,89,30
5/31/2024,500ML VANILLA,54,59
5/31/2024,100ML STRAWBERRY,104,13
5/31/2024,250ML STRAWBERRY,74,30
5/31/2024,500ML STRAWBERRY,42,59
5/31/2024,5L STRAWBERRY,8,450
6/1/2024,100ML VANILLA,136,13
6/1/2024,250ML VANILLA,88,30
6/1/2024,500ML VANILLA,63,59
6/1/2024,100ML STRAWBERRY,87,13
6/1/2024,250ML STRAWBERRY,77,30
6/1/2024,500ML STRAWBERRY,43,59
6/1/2024,5L STRAWBERRY,9,450
6/2/2024,100ML VANILLA,117,13
6/2/2024,250ML VANILLA,85,30
6/2/2024,500ML VANILLA,65,59
6/2/2024,100ML STRAWBERRY,85,13
6/2/2024,250ML STRAWBERRY,71,30
6/2/2024,500ML STRAWBERRY,53,59
6/2/2024,5L STRAWBERRY,8,450
6/3/2024,100ML VANILLA,148,13
6/3/2024,250ML VANILLA,116,30
6/3/2024,500ML VANILLA,79,59
6/3/2024,100ML STRAWBERRY,123,13
6/3/2024,250ML STRAWBERRY,101,30
6/3/2024,500ML STRAWBERRY,74,59
6/3/2024,5L STRAWBERRY,11,450
6/4/2024,100ML VANILLA,150,13
6/4/2024,250ML VANILLA,124,30
6/4/2024,500ML VANILLA,73,59
6/4/2024,100ML STRAWBERRY,125,13
6/4/2024,250ML STRAWBERRY,99,30
6/4/2024,500ML STRAWBERRY,56,59
6/4/2024,5L STRAWBERRY,9,450
6/5/2024,100ML VANILLA,118,13
6/5/2024,250ML VANILLA,89,30
6/5/2024,500ML VANILLA,59,59
6/5/2024,100ML STRAWBERRY,87,13
6/5/2024,250ML STRAWBERRY,73,30
6/5/2024,500ML STRAWBERRY,51,59
6/5/2024,5L STRAWBERRY,8,450
6/6/2024,100ML VANILLA,128,13
6/6/2024,250ML VANILLA,89,30
6/6/2024,500ML VANILLA,54,59
6/6/2024,100ML STRAWBERRY,89,13
6/6/2024,250ML STRAWBERRY,70,30
6/6/2024,500ML STRAWBERRY,45,59
6/6/2024,5L STRAWBERRY,8,450
6/7/2024,100ML VANILLA,137,13
6/7/2024,250ML VANILLA,77,30
6/7/2024,500ML VANILLA,54,59
6/7/2024,100ML STRAWBERRY,87,13
6/7/2024,250ML STRAWBERRY,70,30
6/7/2024,500ML STRAWBERRY,57,59
6/7/2024,5L STRAWBERRY,8,450
6/8/2024,100ML VANILLA,133,13
6/8/2024,250ML VANILLA,94,30
6/8/2024,500ML VANILLA,60,59
6/8/2024,100ML STRAWBERRY,88,13
6/8/2024,250ML STRAWBERRY,79,30
6/8/2024,500ML STRAWBERRY,55,59
6/8/2024,5L STRAWBERRY,7,450
6/9/2024,100ML VANILLA,102,13
6/9/2024,250ML VANILLA,86,30
6/9/2024,500ML VANILLA,67,59
6/9/2024,100ML STRAWBERRY,108,13
6/9/2024,250ML STRAWBERRY,75,30
6/9/2024,500ML STRAWBERRY,50,59
6/9/2024,5L STRAWBERRY,8,450
6/10/2024,100ML VANILLA,184,13
6/10/2024,250ML VANILLA,119,30
6/10/2024,500ML VANILLA,84,59
6/10/2024,100ML STRAWBERRY,122,13
6/10/2024,250ML STRAWBERRY,97,30
6/10/2024,500ML STRAWBERRY,59,59
6/10/2024,5L STRAWBERRY,9,450
6/11/2024,100ML VANILLA,165,13
6/11/2024,250ML VANILLA,105,30
6/11/2024,500ML VANILLA,86,59
6/11/2024,100ML STRAWBERRY,138,13
6/11/2024,250ML STRAWBERRY,102,30
6/11/2024,500ML STRAWBERRY,69,59
6/11/2024,5L STRAWBERRY,11,450
6/12/2024,100ML VANILLA,122,13
6/12/2024,150ML VANILLA,90,20.7
6/12/2024,250ML VANILLA,90,30
6/12/2024,500ML VANILLA,54,59
6/12/2024,100ML STRAWBERRY,107,13
6/12/2024,250ML STRAWBERRY,64,30
6/12/2024,500ML STRAWBERRY,52,59
6/12/2024,5L STRAWBERRY,9,450
6/13/2024,100ML VANILLA,116,13
6/13/2024,250ML VANILLA,74,30
6/13/2024,150ML VANILLA,74,20.7
6/13/2024,500ML VANILLA,56,59
6/13/2024,100ML STRAWBERRY,85,13
6/13/2024,150ML STRAWBERRY,77,20.7
6/13/2024,250ML STRAWBERRY,77,30
6/13/2024,500ML STRAWBERRY,54,59
6/13/2024,5L STRAWBERRY,8,450
6/14/2024,100ML VANILLA,103,13
6/14/2024,250ML VANILLA,84,30
6/14/2024,500ML VANILLA,66,59
6/14/2024,100ML STRAWBERRY,102,13
6/14/2024,250ML STRAWBERRY,68,30
6/14/2024,500ML STRAWBERRY,48,59
6/14/2024,5L STRAWBERRY,8,450
6/15/2024,100ML VANILLA,114,13
6/15/2024,250ML VANILLA,77,30
6/15/2024,500ML VANILLA,66,59
6/15/2024,100ML STRAWBERRY,98,13
6/15/2024,250ML STRAWBERRY,64,30
6/15/2024,500ML STRAWBERRY,49,59
6/15/2024,5L STRAWBERRY,9,450
6/16/2024,100ML VANILLA,122,13
6/16/2024,250ML VANILLA,77,30
6/16/2024,500ML VANILLA,64,59
6/16/2024,100ML STRAWBERRY,106,13
6/16/2024,250ML STRAWBERRY,69,30
6/16/2024,500ML STRAWBERRY,49,59
6/16/2024,5L STRAWBERRY,7,450
6/17/2024,100ML VANILLA,166,13
6/17/2024,150ML VANILLA,104,20.7
6/17/2024,250ML VANILLA,104,30
6/17/2024,500ML VANILLA,80,59
6/17/2024,100ML STRAWBERRY,150,13
6/17/2024,150ML STRAWBERRY,91,20.7
6/17/2024,250ML STRAWBERRY,91,30
6/17/2024,500ML STRAWBERRY,74,59
6/17/2024,5L STRAWBERRY,12,450
6/18/2024,100ML VANILLA,149,13
6/18/2024,250ML VANILLA,130,30
6/18/2024,500ML VANILLA,82,59
6/18/2024,100ML STRAWBERRY,152,13
6/18/2024,250ML STRAWBERRY,103,30
6/18/2024,500ML STRAWBERRY,62,59
6/18/2024,5L STRAWBERRY,10,450
6/19/2024,100ML VANILLA,118,13
6/19/2024,150ML VANILLA,79,20.7
6/19/2024,250ML VANILLA,79,30
6/19/2024,500ML VANILLA,59,59
6/19/2024,100ML STRAWBERRY,98,13
6/19/2024,150ML STRAWBERRY,71,20.7
6/19/2024,250ML STRAWBERRY,71,30
6/19/2024,500ML STRAWBERRY,51,59
6/19/2024,5L STRAWBERRY,8,450
6/20/2024,100ML VANILLA,109,13
6/20/2024,150ML VANILLA,86,20.7
6/20/2024,250ML VANILLA,86,30
6/20/2024,500ML VANILLA,63,59
6/20/2024,100ML STRAWBERRY,107,13
6/20/2024,150ML STRAWBERRY,76,20.7
6/20/2024,250ML STRAWBERRY,76,30
6/20/2024,500ML STRAWBERRY,52,59
6/20/2024,5L STRAWBERRY,9,450
6/21/2024,100ML VANILLA,105,13
6/21/2024,250ML VANILLA,85,30
6/21/2024,500ML VANILLA,67,59
6/21/2024,100ML STRAWBERRY,101,13
6/21/2024,250ML STRAWBERRY,75,30
6/21/2024,500ML STRAWBERRY,51,59
6/21/2024,5L STRAWBERRY,2,450
6/22/2024,100ML VANILLA,114,13
6/22/2024,150ML VANILLA,87,20.7
6/22/2024,250ML VANILLA,87,30
6/22/2024,500ML VANILLA,65,59
6/22/2024,100ML STRAWBERRY,96,13
6/22/2024,150ML STRAWBERRY,74,20.7
6/22/2024,250ML STRAWBERRY,74,30
6/22/2024,500ML STRAWBERRY,54,59
6/22/2024,5L STRAWBERRY,7,450
6/23/2024,100ML VANILLA,130,13
6/23/2024,150ML VANILLA,91,20.7
6/23/2024,250ML VANILLA,91,30
6/23/2024,500ML VANILLA,53,59
6/23/2024,100ML STRAWBERRY,111,13
6/23/2024,150ML STRAWBERRY,72,20.7
6/23/2024,250ML STRAWBERRY,72,30
6/23/2024,500ML STRAWBERRY,43,59
6/23/2024,5L STRAWBERRY,8,450
6/24/2024,100ML VANILLA,146,13
6/24/2024,250ML VANILLA,116,30
6/24/2024,500ML VANILLA,71,59
6/24/2024,100ML STRAWBERRY,150,13
6/24/2024,250ML STRAWBERRY,85,30
6/24/2024,500ML STRAWBERRY,61,59
6/24/2024,5L STRAWBERRY,10,450
6/25/2024,100ML VANILLA,137,13
6/25/2024,250ML VANILLA,128,30
6/25/2024,500ML VANILLA,73,59
6/25/2024,100ML STRAWBERRY,130,13
6/25/2024,250ML STRAWBERRY,99,30
6/25/2024,500ML STRAWBERRY,61,59
6/25/2024,5L STRAWBERRY,10,450
6/26/2024,100ML VANILLA,118,13
6/26/2024,250ML VANILLA,87,30
6/26/2024,500ML VANILLA,68,59
6/26/2024,100ML STRAWBERRY,114,13
6/26/2024,250ML STRAWBERRY,66,30
6/26/2024,500ML STRAWBERRY,52,59
6/26/2024,5L STRAWBERRY,7,450
6/27/2024,100ML VANILLA,117,13
6/27/2024,250ML VANILLA,79,30
6/27/2024,500ML VANILLA,62,59
6/27/2024,100ML STRAWBERRY,104,13
6/27/2024,250ML STRAWBERRY,73,30
6/27/2024,500ML STRAWBERRY,51,59
6/27/2024,5L STRAWBERRY,8,450
6/28/2024,100ML VANILLA,125,13
6/28/2024,150ML VANILLA,84,20.7
6/28/2024,250ML VANILLA,84,30
6/28/2024,500ML VANILLA,63,59
6/28/2024,100ML STRAWBERRY,93,13
6/28/2024,150ML STRAWBERRY,62,20.7
6/28/2024,250ML STRAWBERRY,62,30
6/28/2024,500ML STRAWBERRY,49,59
6/28/2024,5L STRAWBERRY,8,450
6/29/2024,100ML VANILLA,131,13
6/29/2024,250ML VANILLA,94,30
6/29/2024,500ML VANILLA,65,59
6/29/2024,100ML STRAWBERRY,93,13
6/29/2024,250ML STRAWBERRY,78,30
6/29/2024,500ML STRAWBERRY,56,59
6/29/2024,5L STRAWBERRY,8,450
6/30/2024,100ML VANILLA,135,13
6/30/2024,250ML VANILLA,81,30
6/30/2024,500ML VANILLA,52,59
6/30/2024,100ML STRAWBERRY,99,13
6/30/2024,250ML STRAWBERRY,74,30
6/30/2024,500ML STRAWBERRY,53,59
6/30/2024,5L STRAWBERRY,7,450
7/1/2024,100ML VANILLA,136,13
7/1/2024,150ML VANILLA,114,20.7
7/1/2024,250ML VANILLA,114,30
7/1/2024,500ML VANILLA,72,59
7/1/2024,100ML STRAWBERRY,144,13
7/1/2024,150ML STRAWBERRY,90,20.7
7/1/2024,250ML STRAWBERRY,90,30
7/1/2024,500ML STRAWBERRY,58,59
7/1/2024,5L STRAWBERRY,10,450
7/2/2024,100ML VANILLA,140,13
7/2/2024,250ML VANILLA,103,30
7/2/2024,500ML VANILLA,85,59
7/2/2024,100ML STRAWBERRY,153,13
7/2/2024,250ML STRAWBERRY,100,30
7/2/2024,500ML STRAWBERRY,64,59
7/2/2024,5L STRAWBERRY,11,450
7/3/2024,100ML VANILLA,132,13
7/3/2024,250ML VANILLA,82,30
7/3/2024,500ML VANILLA,67,59
7/3/2024,100ML STRAWBERRY,88,13
7/3/2024,250ML STRAWBERRY,69,30
7/3/2024,500ML STRAWBERRY,48,59
7/3/2024,5L STRAWBERRY,7,450
7/4/2024,100ML VANILLA,133,13
7/4/2024,250ML VANILLA,89,30
7/4/2024,500ML VANILLA,60,59
7/4/2024,100ML STRAWBERRY,108,13
7/4/2024,250ML STRAWBERRY,63,30
7/4/2024,500ML STRAWBERRY,43,59
7/4/2024,5L STRAWBERRY,7,450
7/5/2024,100ML VANILLA,133,13
7/5/2024,150ML VANILLA,74,20.7
7/5/2024,250ML VANILLA,74,30
7/5/2024,500ML VANILLA,50,59
7/5/2024,100ML STRAWBERRY,88,13
7/5/2024,150ML STRAWBERRY,64,20.7
7/5/2024,250ML STRAWBERRY,64,30
7/5/2024,500ML STRAWBERRY,51,59
7/5/2024,5L STRAWBERRY,7,450
7/6/2024,100ML VANILLA,111,13
7/6/2024,250ML VANILLA,75,30
7/6/2024,500ML VANILLA,65,59
7/6/2024,100ML STRAWBERRY,108,13
7/6/2024,250ML STRAWBERRY,76,30
7/6/2024,500ML STRAWBERRY,45,59
7/6/2024,5L STRAWBERRY,9,450
7/7/2024,100ML VANILLA,128,13
7/7/2024,250ML VANILLA,86,30
7/7/2024,500ML VANILLA,66,59
7/7/2024,100ML STRAWBERRY,100,13
7/7/2024,250ML STRAWBERRY,74,30
7/7/2024,500ML STRAWBERRY,55,59
7/7/2024,5L STRAWBERRY,7,450
7/8/2024,100ML VANILLA,141,13
7/8/2024,250ML VANILLA,120,30
7/8/2024,500ML VANILLA,74,59
7/8/2024,100ML STRAWBERRY,137,13
7/8/2024,250ML STRAWBERRY,95,30
7/8/2024,500ML STRAWBERRY,70,59
7/8/2024,5L STRAWBERRY,11,450
7/9/2024,100ML VANILLA,171,13
7/9/2024,250ML VANILLA,112,30
7/9/2024,500ML VANILLA,78,59
7/9/2024,100ML STRAWBERRY,129,13
7/9/2024,250ML STRAWBERRY,93,30
7/9/2024,500ML STRAWBERRY,64,59
7/9/2024,5L STRAWBERRY,12,450
7/10/2024,100ML VANILLA,129,13
7/10/2024,250ML VANILLA,75,30
7/10/2024,500ML VANILLA,66,59
7/10/2024,100ML STRAWBERRY,103,13
7/10/2024,250ML STRAWBERRY,65,30
7/10/2024,500ML STRAWBERRY,48,59
7/10/2024,5L STRAWBERRY,8,450
7/11/2024,100ML VANILLA,124,13
7/11/2024,250ML VANILLA,88,30
7/11/2024,500ML VANILLA,61,59
7/11/2024,100ML STRAWBERRY,104,13
7/11/2024,250ML STRAWBERRY,61,30
7/11/2024,500ML STRAWBERRY,48,59
7/11/2024,5L STRAWBERRY,8,450
7/12/2024,100ML VANILLA,128,13
7/12/2024,250ML VANILLA,93,30
7/12/2024,500ML VANILLA,61,59
7/12/2024,100ML STRAWBERRY,111,13
7/12/2024,250ML STRAWBERRY,65,30
7/12/2024,500ML STRAWBERRY,53,59
7/12/2024,5L STRAWBERRY,7,450
7/13/2024,100ML VANILLA,134,13
7/13/2024,250ML VANILLA,81,30
7/13/2024,500ML VANILLA,61,59
7/13/2024,100ML STRAWBERRY,106,13
7/13/2024,250ML STRAWBERRY,69,30
7/13/2024,500ML STRAWBERRY,48,59
7/13/2024,5L STRAWBERRY,9,450
7/14/2024,100ML VANILLA,102,13
7/14/2024,250ML VANILLA,77,30
7/14/2024,500ML VANILLA,63,59
7/14/2024,100ML STRAWBERRY,106,13
7/14/2024,250ML STRAWBERRY,69,30
7/14/2024,500ML STRAWBERRY,53,59
7/14/2024,5L STRAWBERRY,8,450
7/15/2024,100ML VANILLA,172,13
7/15/2024,250ML VANILLA,117,30
7/15/2024,500ML VANILLA,79,59
7/15/2024,100ML STRAWBERRY,116,13
7/15/2024,250ML STRAWBERRY,85,30
7/15/2024,500ML STRAWBERRY,63,59
7/15/2024,5L STRAWBERRY,9,450
7/16/2024,100ML VANILLA,148,13
7/16/2024,250ML VANILLA,123,30
7/16/2024,500ML VANILLA,88,59
7/16/2024,100ML STRAWBERRY,116,13
7/16/2024,250ML STRAWBERRY,79,30
7/16/2024,500ML STRAWBERRY,75,59
7/16/2024,5L STRAWBERRY,11,450
7/17/2024,100ML VANILLA,128,13
7/17/2024,250ML VANILLA,73,30
7/17/2024,500ML VANILLA,56,59
7/17/2024,100ML STRAWBERRY,102,13
7/17/2024,250ML STRAWBERRY,77,30
7/17/2024,500ML STRAWBERRY,55,59
7/17/2024,5L STRAWBERRY,8,450
7/18/2024,100ML VANILLA,117,13
7/18/2024,250ML VANILLA,81,30
7/18/2024,500ML VANILLA,55,59
7/18/2024,100ML STRAWBERRY,90,13
7/18/2024,250ML STRAWBERRY,79,30
7/18/2024,500ML STRAWBERRY,53,59
7/18/2024,5L STRAWBERRY,9,450
7/19/2024,100ML VANILLA,107,13
7/19/2024,250ML VANILLA,87,30
7/19/2024,500ML VANILLA,62,59
7/19/2024,100ML STRAWBERRY,109,13
7/19/2024,250ML STRAWBERRY,75,30
7/19/2024,500ML STRAWBERRY,48,59
7/19/2024,5L STRAWBERRY,8,450
7/20/2024,100ML VANILLA,123,13
7/20/2024,250ML VANILLA,87,30
7/20/2024,500ML VANILLA,53,59
7/20/2024,100ML STRAWBERRY,94,13
7/20/2024,250ML STRAWBERRY,62,30
7/20/2024,500ML STRAWBERRY,48,59
7/20/2024,5L STRAWBERRY,7,450
7/21/2024,100ML VANILLA,104,13
7/21/2024,250ML VANILLA,94,30
7/21/2024,500ML VANILLA,61,59
7/21/2024,100ML STRAWBERRY,101,13
7/21/2024,250ML STRAWBERRY,79,30
7/21/2024,500ML STRAWBERRY,55,59
7/21/2024,5L STRAWBERRY,8,450
